"Estacion","Fecha inicial","Fecha final","NO2"
"FACATATIVA - URBANO","2025-06-27","","32.13875"
"FACATATIVA - URBANO","2025-06-26","","30.7525"
"FACATATIVA - URBANO","2025-06-25","","29.21291667"
"FACATATIVA - URBANO","2025-06-24","","19.31666667"
"FACATATIVA - URBANO","2025-06-23","","20.83208333"
"FACATATIVA - URBANO","2025-06-22","","20.49791667"
"FACATATIVA - URBANO","2025-06-21","","23.36625"
"FACATATIVA - URBANO","2025-06-20","","36.21208333"
"FACATATIVA - URBANO","2025-06-19","","45.33291667"
"FACATATIVA - URBANO","2025-06-18","","48.90041667"
"FACATATIVA - URBANO","2025-06-17","","44.84"
"FACATATIVA - URBANO","2025-06-16","","36.25333333"
"FACATATIVA - URBANO","2025-06-15","","43.50458333"
"FACATATIVA - URBANO","2025-06-14","","29.25875"
"FACATATIVA - URBANO","2025-06-13","","40.24"
"FACATATIVA - URBANO","2025-06-12","","27.60333333"
"FACATATIVA - URBANO","2025-06-11","","42.97625"
"FACATATIVA - URBANO","2025-06-10","","23.77875"
"FACATATIVA - URBANO","2025-06-09","","22.27041667"
"FACATATIVA - URBANO","2025-06-08","","18.505"
"FACATATIVA - URBANO","2025-06-07","","21.03541667"
"FACATATIVA - URBANO","2025-06-06","","20.04458333"
"FACATATIVA - URBANO","2025-06-05","","22.26416667"
"FACATATIVA - URBANO","2025-06-04","","35.53625"
"FACATATIVA - URBANO","2025-06-03","","40.84666667"
"FACATATIVA - URBANO","2025-06-02","","37.695"
"FACATATIVA - URBANO","2025-06-01","","39.54916667"
"FACATATIVA - URBANO","2025-05-31","","42.65916667"
"FACATATIVA - URBANO","2025-05-30","","48.13458333"
"FACATATIVA - URBANO","2025-05-29","","44.66208333"
"FACATATIVA - URBANO","2025-05-28","","41.175"
"FACATATIVA - URBANO","2025-05-27","","42.6125"
"FACATATIVA - URBANO","2025-05-26","","21.9425"
"FACATATIVA - URBANO","2025-05-25","","21.44833333"
"FACATATIVA - URBANO","2025-05-24","","16.62666667"
"FACATATIVA - URBANO","2025-05-23","","20.5125"
"FACATATIVA - URBANO","2025-05-22","","19.92923077"
"FACATATIVA - URBANO","2025-05-18","","36.66857143"
"FACATATIVA - URBANO","2025-05-17","","37.16125"
"FACATATIVA - URBANO","2025-05-16","","34.86375"
"FACATATIVA - URBANO","2025-05-15","","35.88333333"
"FACATATIVA - URBANO","2025-05-14","","32.36333333"
"FACATATIVA - URBANO","2025-05-13","","33.13916667"
"FACATATIVA - URBANO","2025-05-12","","28.58173913"
"FACATATIVA - URBANO","2025-05-11","","31.81"
"FACATATIVA - URBANO","2025-05-10","","37.20458333"
"FACATATIVA - URBANO","2025-05-09","","40.2375"
"FACATATIVA - URBANO","2025-05-08","","39.44208333"
"FACATATIVA - URBANO","2025-05-07","","39.34125"
"FACATATIVA - URBANO","2025-05-06","","35.14375"
"FACATATIVA - URBANO","2025-05-05","","36.43916667"
"FACATATIVA - URBANO","2025-05-04","","36.21208333"
"FACATATIVA - URBANO","2025-05-03","","39.6775"
"FACATATIVA - URBANO","2025-05-02","","41.36416667"
"FACATATIVA - URBANO","2025-05-01","","36.28458333"
"FACATATIVA - URBANO","2025-04-30","","42.53083333"
"FACATATIVA - URBANO","2025-04-29","","43.079"
"FACATATIVA - URBANO","2025-04-28","","38.23958333"
"FACATATIVA - URBANO","2025-04-27","","38.7025"
"FACATATIVA - URBANO","2025-04-26","","58.66791667"
"FACATATIVA - URBANO","2025-04-25","","46.96083333"
"FACATATIVA - URBANO","2025-04-24","","44.48708333"
"FACATATIVA - URBANO","2025-04-23","","37.64125"
"FACATATIVA - URBANO","2025-04-22","","39.8475"
"FACATATIVA - URBANO","2025-04-21","","40.63291667"
"FACATATIVA - URBANO","2025-04-20","","36.12375"
"FACATATIVA - URBANO","2025-04-19","","37.96217391"
"FACATATIVA - URBANO","2025-04-18","","36.79041667"
"FACATATIVA - URBANO","2025-04-17","","39.384375"
"FACATATIVA - URBANO","2025-04-16","","42.7525"
"FACATATIVA - URBANO","2025-04-15","","42.9273913"
"FACATATIVA - URBANO","2025-01-13","","24.87866667"
"FACATATIVA - URBANO","2025-01-12","","34.72125"
"FACATATIVA - URBANO","2025-01-11","","39.68041667"
"FACATATIVA - URBANO","2025-01-10","","42.07416667"
"FACATATIVA - URBANO","2025-01-09","","38.86958333"
"FACATATIVA - URBANO","2025-01-08","","45.12666667"
"FACATATIVA - URBANO","2025-01-07","","42.68333333"
"FACATATIVA - URBANO","2025-01-06","","28.03"
"FACATATIVA - URBANO","2025-01-05","","31.485"
"FACATATIVA - URBANO","2025-01-04","","36.57416667"
"FACATATIVA - URBANO","2025-01-03","","38.09666667"
"FACATATIVA - URBANO","2025-01-02","","40.04333333"
"FACATATIVA - URBANO","2025-01-01","","32.15913043"
"FACATATIVA - URBANO","2024-12-30","","36.935"
"FACATATIVA - URBANO","2024-12-29","","41.36791667"
"FACATATIVA - URBANO","2024-12-28","","42.87666667"
"FACATATIVA - URBANO","2024-12-27","","46.16"
"FACATATIVA - URBANO","2024-12-26","","40.23666667"
"FACATATIVA - URBANO","2024-12-25","","37.01916667"
"FACATATIVA - URBANO","2024-12-24","","40.33458333"
"FACATATIVA - URBANO","2024-12-23","","32.8175"
"FACATATIVA - URBANO","2024-12-22","","35.27"
"FACATATIVA - URBANO","2024-12-21","","40.76"
"FACATATIVA - URBANO","2024-12-20","","39.1675"
"FACATATIVA - URBANO","2024-12-19","","30.35375"
"FACATATIVA - URBANO","2024-12-18","","35.45666667"
"FACATATIVA - URBANO","2024-12-17","","38.22333333"
"FACATATIVA - URBANO","2024-12-16","","43.42541667"
"FACATATIVA - URBANO","2024-12-15","","43.60958333"
"FACATATIVA - URBANO","2024-12-14","","42.84791667"
"FACATATIVA - URBANO","2024-12-13","","46.39"
"FACATATIVA - URBANO","2024-12-12","","39.48466667"
"FACATATIVA - URBANO","2024-12-11","","40.15166667"
"FACATATIVA - URBANO","2024-12-10","","35.75791667"
"FACATATIVA - URBANO","2024-12-09","","42.10083333"
"FACATATIVA - URBANO","2024-12-08","","41.84"
"FACATATIVA - URBANO","2024-12-07","","39.77166667"
"FACATATIVA - URBANO","2024-12-06","","40.74416667"
