"Estacion","Fecha inicial","Fecha final","CO"
"FACATATIVA - URBANO","2025-07-16","","613.72"
"FACATATIVA - URBANO","2025-07-15","","927.45"
"FACATATIVA - URBANO","2025-07-14","","845.49210526"
"FACATATIVA - URBANO","2025-07-13","","553.89375"
"FACATATIVA - URBANO","2025-07-12","","437.48541667"
"FACATATIVA - URBANO","2025-07-11","","351.67857143"
"FACATATIVA - URBANO","2025-07-10","","515.25"
"FACATATIVA - URBANO","2025-07-09","","874.97083333"
"FACATATIVA - URBANO","2025-07-08","","873.68478261"
"FACATATIVA - URBANO","2025-07-07","","536.71875"
"FACATATIVA - URBANO","2025-07-06","","623.54791667"
"FACATATIVA - URBANO","2025-07-05","","657.42083333"
"FACATATIVA - URBANO","2025-07-04","","456.56875"
"FACATATIVA - URBANO","2025-07-03","","750.92916667"
"FACATATIVA - URBANO","2025-07-02","","780.03125"
"FACATATIVA - URBANO","2025-07-01","","653.60416667"
"FACATATIVA - URBANO","2025-06-30","","550.07708333"
"FACATATIVA - URBANO","2025-06-29","","586.33541667"
"FACATATIVA - URBANO","2025-06-28","","605.41875"
"FACATATIVA - URBANO","2025-06-27","","475.92173913"
"FACATATIVA - URBANO","2025-06-26","","700.93913043"
"FACATATIVA - URBANO","2025-06-25","","812.95"
"FACATATIVA - URBANO","2025-06-24","","649.31041667"
"FACATATIVA - URBANO","2025-06-23","","562.00416667"
"FACATATIVA - URBANO","2025-06-22","","687.0"
"FACATATIVA - URBANO","2025-06-21","","743.29583333"
"FACATATIVA - URBANO","2025-06-20","","802.45416667"
"FACATATIVA - URBANO","2025-06-19","","1004.26041667"
"FACATATIVA - URBANO","2025-06-18","","776.21458333"
"FACATATIVA - URBANO","2025-06-17","","768.10416667"
"FACATATIVA - URBANO","2025-06-16","","745.20416667"
"FACATATIVA - URBANO","2025-06-15","","658.85208333"
"FACATATIVA - URBANO","2025-06-14","","458.95416667"
"FACATATIVA - URBANO","2025-06-13","","715.625"
"FACATATIVA - URBANO","2025-06-12","","714.19375"
"FACATATIVA - URBANO","2025-06-11","","537.67291667"
"FACATATIVA - URBANO","2025-06-10","","770.96666667"
"FACATATIVA - URBANO","2025-06-09","","1805.28333333"
"FACATATIVA - URBANO","2025-06-08","","1656.43333333"
"FACATATIVA - URBANO","2025-06-07","","1648.8"
"FACATATIVA - URBANO","2025-06-06","","1763.3"
"FACATATIVA - URBANO","2025-06-05","","1654.04791667"
"FACATATIVA - URBANO","2025-06-04","","1659.29583333"
"FACATATIVA - URBANO","2025-06-03","","1356.57608696"
"FACATATIVA - URBANO","2025-06-02","","1083.93333333"
"FACATATIVA - URBANO","2025-06-01","","1606.81666667"
"FACATATIVA - URBANO","2025-05-31","","1514.38695652"
"FACATATIVA - URBANO","2025-05-30","","1278.58333333"
"FACATATIVA - URBANO","2025-05-29","","1157.94347826"
"FACATATIVA - URBANO","2025-05-28","","990.425"
"FACATATIVA - URBANO","2025-05-27","","1237.55416667"
"FACATATIVA - URBANO","2025-05-26","","1095.71521739"
"FACATATIVA - URBANO","2025-05-25","","761.425"
"FACATATIVA - URBANO","2025-05-24","","590.15208333"
"FACATATIVA - URBANO","2025-05-23","","806.27083333"
"FACATATIVA - URBANO","2025-05-22","","645.01666667"
"FACATATIVA - URBANO","2025-05-21","","796.72916667"
"FACATATIVA - URBANO","2025-05-20","","505.23125"
"FACATATIVA - URBANO","2025-05-19","","680.79791667"
"FACATATIVA - URBANO","2025-05-18","","592.06041667"
"FACATATIVA - URBANO","2025-05-17","","461.81666667"
"FACATATIVA - URBANO","2025-05-16","","544.82916667"
"FACATATIVA - URBANO","2025-05-15","","498.89285714"
"FACATATIVA - URBANO","2025-05-14","","408.2173913"
"FACATATIVA - URBANO","2025-05-13","","320.07954545"
"FACATATIVA - URBANO","2025-05-12","","977.2326087"
"FACATATIVA - URBANO","2025-05-11","","1264.74791667"
"FACATATIVA - URBANO","2025-05-10","","1209.40625"
"FACATATIVA - URBANO","2025-05-09","","1249.95833333"
"FACATATIVA - URBANO","2025-05-08","","1126.87083333"
"FACATATIVA - URBANO","2025-05-07","","968.00208333"
"FACATATIVA - URBANO","2025-05-06","","1193.18541667"
"FACATATIVA - URBANO","2025-05-05","","875.44791667"
"FACATATIVA - URBANO","2025-05-04","","916.95416667"
"FACATATIVA - URBANO","2025-05-03","","702.74375"
"FACATATIVA - URBANO","2025-05-02","","728.98333333"
"FACATATIVA - URBANO","2025-05-01","","655.98958333"
"FACATATIVA - URBANO","2025-04-30","","550.55416667"
"FACATATIVA - URBANO","2025-04-29","","433.3825"
"FACATATIVA - URBANO","2025-04-28","","447.02708333"
"FACATATIVA - URBANO","2025-04-27","","193.15652174"
"FACATATIVA - URBANO","2025-04-26","","718.36304348"
"FACATATIVA - URBANO","2025-04-25","","611.62083333"
"FACATATIVA - URBANO","2025-04-24","","548.64583333"
"FACATATIVA - URBANO","2025-04-23","","489.96458333"
"FACATATIVA - URBANO","2025-04-22","","425.55833333"
"FACATATIVA - URBANO","2025-04-21","","507.13958333"
"FACATATIVA - URBANO","2025-04-20","","242.83541667"
"FACATATIVA - URBANO","2025-04-19","","271.81304348"
"FACATATIVA - URBANO","2025-04-18","","256.19375"
"FACATATIVA - URBANO","2025-04-17","","430.80625"
"FACATATIVA - URBANO","2025-04-16","","770.728125"
"FACATATIVA - URBANO","2025-04-15","","531.94791667"
"FACATATIVA - URBANO","2025-04-14","","718.36304348"
"FACATATIVA - URBANO","2025-04-13","","370.69375"
"FACATATIVA - URBANO","2025-04-12","","353.51875"
