"Estacion","Fecha inicial","Fecha final","PM2.5"
"FACATATIVA - URBANO","2025-07-21","","5.83458333"
"FACATATIVA - URBANO","2025-07-20","","5.61708333"
"FACATATIVA - URBANO","2025-07-19","","7.12666667"
"FACATATIVA - URBANO","2025-07-18","","7.79625"
"FACATATIVA - URBANO","2025-07-17","","8.295"
"FACATATIVA - URBANO","2025-07-16","","10.266"
"FACATATIVA - URBANO","2025-07-14","","7.13958333"
"FACATATIVA - URBANO","2025-07-13","","7.24833333"
"FACATATIVA - URBANO","2025-07-12","","7.21666667"
"FACATATIVA - URBANO","2025-07-11","","8.15625"
"FACATATIVA - URBANO","2025-07-10","","8.57791667"
"FACATATIVA - URBANO","2025-07-09","","8.84666667"
"FACATATIVA - URBANO","2025-07-08","","9.32"
"FACATATIVA - URBANO","2025-07-07","","7.16791667"
"FACATATIVA - URBANO","2025-07-06","","6.125"
"FACATATIVA - URBANO","2025-07-05","","6.75708333"
"FACATATIVA - URBANO","2025-07-04","","5.84958333"
"FACATATIVA - URBANO","2025-07-03","","6.04166667"
"FACATATIVA - URBANO","2025-07-02","","8.53958333"
"FACATATIVA - URBANO","2025-07-01","","6.41958333"
"FACATATIVA - URBANO","2025-06-30","","5.40541667"
"FACATATIVA - URBANO","2025-06-29","","6.18833333"
"FACATATIVA - URBANO","2025-06-28","","6.54166667"
"FACATATIVA - URBANO","2025-06-27","","7.54791667"
"FACATATIVA - URBANO","2025-06-26","","11.40625"
"FACATATIVA - URBANO","2025-06-25","","7.82125"
"FACATATIVA - URBANO","2025-06-24","","5.95875"
"FACATATIVA - URBANO","2025-06-23","","5.7975"
"FACATATIVA - URBANO","2025-06-22","","5.38708333"
"FACATATIVA - URBANO","2025-06-21","","6.755"
"FACATATIVA - URBANO","2025-06-20","","7.29458333"
"FACATATIVA - URBANO","2025-06-19","","9.35625"
"FACATATIVA - URBANO","2025-06-18","","7.50583333"
"FACATATIVA - URBANO","2025-06-17","","10.38791667"
"FACATATIVA - URBANO","2025-06-16","","9.33166667"
"FACATATIVA - URBANO","2025-06-15","","10.66666667"
"FACATATIVA - URBANO","2025-06-14","","6.29833333"
"FACATATIVA - URBANO","2025-06-13","","11.315"
"FACATATIVA - URBANO","2025-06-12","","11.5825"
"FACATATIVA - URBANO","2025-06-11","","9.48166667"
"FACATATIVA - URBANO","2025-06-10","","8.62111111"
"FACATATIVA - URBANO","2025-06-09","","7.07458333"
"FACATATIVA - URBANO","2025-06-08","","4.13791667"
"FACATATIVA - URBANO","2025-06-07","","6.50625"
"FACATATIVA - URBANO","2025-06-06","","8.985"
"FACATATIVA - URBANO","2025-06-05","","9.93333333"
"FACATATIVA - URBANO","2025-06-04","","10.44541667"
"FACATATIVA - URBANO","2025-06-03","","6.89625"
"FACATATIVA - URBANO","2025-06-02","","3.81916667"
"FACATATIVA - URBANO","2025-06-01","","6.90166667"
"FACATATIVA - URBANO","2025-05-31","","8.33583333"
"FACATATIVA - URBANO","2025-05-30","","11.84166667"
"FACATATIVA - URBANO","2025-05-29","","11.23125"
"FACATATIVA - URBANO","2025-05-28","","6.73708333"
"FACATATIVA - URBANO","2025-05-27","","10.37125"
"FACATATIVA - URBANO","2025-05-26","","8.45583333"
"FACATATIVA - URBANO","2025-05-25","","5.09708333"
"FACATATIVA - URBANO","2025-05-24","","4.5275"
"FACATATIVA - URBANO","2025-05-23","","8.3"
"FACATATIVA - URBANO","2025-05-22","","7.81333333"
"FACATATIVA - URBANO","2025-05-21","","10.81541667"
"FACATATIVA - URBANO","2025-05-20","","6.12458333"
"FACATATIVA - URBANO","2025-05-19","","8.72625"
"FACATATIVA - URBANO","2025-05-18","","8.87666667"
"FACATATIVA - URBANO","2025-05-17","","6.4175"
"FACATATIVA - URBANO","2025-05-16","","11.63916667"
"FACATATIVA - URBANO","2025-05-15","","7.69"
"FACATATIVA - URBANO","2025-05-14","","8.77875"
"FACATATIVA - URBANO","2025-05-13","","8.67375"
"FACATATIVA - URBANO","2025-05-12","","7.96333333"
"FACATATIVA - URBANO","2025-05-11","","5.06416667"
"FACATATIVA - URBANO","2025-05-10","","6.44916667"
"FACATATIVA - URBANO","2025-05-09","","10.63"
"FACATATIVA - URBANO","2025-05-08","","11.74291667"
"FACATATIVA - URBANO","2025-05-07","","8.26708333"
"FACATATIVA - URBANO","2025-05-06","","10.07083333"
"FACATATIVA - URBANO","2025-05-05","","6.93666667"
"FACATATIVA - URBANO","2025-05-04","","10.87166667"
"FACATATIVA - URBANO","2025-05-03","","7.85"
"FACATATIVA - URBANO","2025-05-02","","12.32375"
"FACATATIVA - URBANO","2025-05-01","","9.03666667"
"FACATATIVA - URBANO","2025-04-30","","8.21958333"
"FACATATIVA - URBANO","2025-04-29","","11.1255"
"FACATATIVA - URBANO","2025-04-28","","7.85291667"
"FACATATIVA - URBANO","2025-04-27","","6.15375"
"FACATATIVA - URBANO","2025-04-26","","12.15125"
"FACATATIVA - URBANO","2025-04-25","","17.72583333"
"FACATATIVA - URBANO","2025-04-24","","10.72291667"
"FACATATIVA - URBANO","2025-04-23","","13.902"
"FACATATIVA - URBANO","2025-04-22","","13.35208333"
"FACATATIVA - URBANO","2025-04-21","","6.52291667"
"FACATATIVA - URBANO","2025-04-20","","5.06166667"
"FACATATIVA - URBANO","2025-04-19","","9.46434783"
"FACATATIVA - URBANO","2025-04-18","","9.86333333"
"FACATATIVA - URBANO","2025-04-17","","17.433125"
"FACATATIVA - URBANO","2025-04-16","","26.595625"
"FACATATIVA - URBANO","2025-04-15","","20.525"
"FACATATIVA - URBANO","2025-04-14","","14.79208333"
"FACATATIVA - URBANO","2025-04-13","","10.63083333"
"FACATATIVA - URBANO","2025-04-12","","12.63458333"
"FACATATIVA - URBANO","2025-04-11","","8.72708333"
"FACATATIVA - URBANO","2025-04-10","","6.81416667"
"FACATATIVA - URBANO","2025-04-09","","11.54666667"
"FACATATIVA - URBANO","2025-04-08","","8.37541667"
"FACATATIVA - URBANO","2025-04-07","","9.65125"
"FACATATIVA - URBANO","2025-04-06","","6.02833333"
"FACATATIVA - URBANO","2025-04-05","","8.50791667"
"FACATATIVA - URBANO","2025-04-04","","10.775"
"FACATATIVA - URBANO","2025-04-03","","14.34208333"
"FACATATIVA - URBANO","2025-04-02","","17.59833333"
"FACATATIVA - URBANO","2025-04-01","","15.50916667"
"FACATATIVA - URBANO","2025-03-31","","10.74"
"FACATATIVA - URBANO","2025-03-30","","12.53375"
"FACATATIVA - URBANO","2025-03-29","","18.5575"
"FACATATIVA - URBANO","2025-03-28","","21.05291667"
"FACATATIVA - URBANO","2025-03-27","","18.83083333"
"FACATATIVA - URBANO","2025-03-26","","21.07791667"
"FACATATIVA - URBANO","2025-03-25","","20.65083333"
"FACATATIVA - URBANO","2025-03-24","","16.06875"
"FACATATIVA - URBANO","2025-03-23","","16.48541667"
"FACATATIVA - URBANO","2025-03-22","","14.15541667"
"FACATATIVA - URBANO","2025-03-21","","10.14416667"
"FACATATIVA - URBANO","2025-03-20","","8.65541667"
"FACATATIVA - URBANO","2025-03-19","","15.14833333"
"FACATATIVA - URBANO","2025-03-18","","6.93"
"FACATATIVA - URBANO","2025-03-17","","9.75958333"
"FACATATIVA - URBANO","2025-03-16","","10.58541667"
"FACATATIVA - URBANO","2025-03-15","","16.7225"
"FACATATIVA - URBANO","2025-03-14","","11.90208333"
"FACATATIVA - URBANO","2025-03-13","","18.66125"
"FACATATIVA - URBANO","2025-03-12","","7.38625"
"FACATATIVA - URBANO","2025-03-11","","21.34041667"
"FACATATIVA - URBANO","2025-03-10","","19.81842105"
"FACATATIVA - URBANO","2025-03-09","","14.75"
"FACATATIVA - URBANO","2025-03-08","","14.61"
"FACATATIVA - URBANO","2025-03-07","","13.19416667"
"FACATATIVA - URBANO","2025-03-06","","10.4875"
"FACATATIVA - URBANO","2025-03-05","","12.56708333"
"FACATATIVA - URBANO","2025-03-04","","17.81041667"
"FACATATIVA - URBANO","2025-03-03","","16.41666667"
"FACATATIVA - URBANO","2025-03-02","","12.48227273"
"FACATATIVA - URBANO","2025-03-01","","14.49333333"
"FACATATIVA - URBANO","2025-02-28","","10.92791667"
"FACATATIVA - URBANO","2025-02-27","","15.00578947"
"FACATATIVA - URBANO","2025-02-26","","15.71631579"
