"Estacion","Fecha inicial","Fecha final","PM10"
"FACATATIVA - URBANO","2025-07-22","","21.01916667"
"FACATATIVA - URBANO","2025-07-21","","12.1675"
"FACATATIVA - URBANO","2025-07-20","","11.98541667"
"FACATATIVA - URBANO","2025-07-19","","15.69708333"
"FACATATIVA - URBANO","2025-07-18","","21.68"
"FACATATIVA - URBANO","2025-07-17","","23.30791667"
"FACATATIVA - URBANO","2025-07-16","","25.366"
"FACATATIVA - URBANO","2025-07-15","","25.613"
"FACATATIVA - URBANO","2025-07-14","","16.2675"
"FACATATIVA - URBANO","2025-07-13","","13.87083333"
"FACATATIVA - URBANO","2025-07-12","","19.055"
"FACATATIVA - URBANO","2025-07-11","","21.90625"
"FACATATIVA - URBANO","2025-07-10","","19.62041667"
"FACATATIVA - URBANO","2025-07-09","","22.08833333"
"FACATATIVA - URBANO","2025-07-08","","25.57708333"
"FACATATIVA - URBANO","2025-07-07","","20.90125"
"FACATATIVA - URBANO","2025-07-06","","13.03708333"
"FACATATIVA - URBANO","2025-07-05","","16.60958333"
"FACATATIVA - URBANO","2025-07-04","","14.79041667"
"FACATATIVA - URBANO","2025-07-03","","16.28041667"
"FACATATIVA - URBANO","2025-07-02","","25.11458333"
"FACATATIVA - URBANO","2025-07-01","","18.71958333"
"FACATATIVA - URBANO","2025-06-30","","13.01666667"
"FACATATIVA - URBANO","2025-06-29","","14.02875"
"FACATATIVA - URBANO","2025-06-28","","17.31666667"
"FACATATIVA - URBANO","2025-06-27","","17.96833333"
"FACATATIVA - URBANO","2025-06-26","","28.33125"
"FACATATIVA - URBANO","2025-06-25","","22.81666667"
"FACATATIVA - URBANO","2025-06-24","","10.39708333"
"FACATATIVA - URBANO","2025-06-23","","12.42833333"
"FACATATIVA - URBANO","2025-06-22","","11.79"
"FACATATIVA - URBANO","2025-06-21","","18.80041667"
"FACATATIVA - URBANO","2025-06-20","","20.52875"
"FACATATIVA - URBANO","2025-06-19","","24.93958333"
"FACATATIVA - URBANO","2025-06-18","","22.87708333"
"FACATATIVA - URBANO","2025-06-17","","25.07041667"
"FACATATIVA - URBANO","2025-06-16","","23.31416667"
"FACATATIVA - URBANO","2025-06-15","","21.35833333"
"FACATATIVA - URBANO","2025-06-14","","13.74958333"
"FACATATIVA - URBANO","2025-06-13","","26.25375"
"FACATATIVA - URBANO","2025-06-12","","24.94625"
"FACATATIVA - URBANO","2025-06-11","","21.05041667"
"FACATATIVA - URBANO","2025-06-10","","21.12058824"
"FACATATIVA - URBANO","2025-06-09","","14.51666667"
"FACATATIVA - URBANO","2025-06-08","","12.275"
"FACATATIVA - URBANO","2025-06-07","","18.46583333"
"FACATATIVA - URBANO","2025-06-06","","23.48375"
"FACATATIVA - URBANO","2025-06-05","","26.14166667"
"FACATATIVA - URBANO","2025-06-04","","29.86916667"
"FACATATIVA - URBANO","2025-06-03","","19.40875"
"FACATATIVA - URBANO","2025-06-02","","10.02291667"
"FACATATIVA - URBANO","2025-06-01","","16.215"
"FACATATIVA - URBANO","2025-05-31","","23.49166667"
"FACATATIVA - URBANO","2025-05-30","","29.39166667"
"FACATATIVA - URBANO","2025-05-29","","33.11375"
"FACATATIVA - URBANO","2025-05-28","","20.00541667"
"FACATATIVA - URBANO","2025-05-27","","22.94375"
"FACATATIVA - URBANO","2025-05-26","","19.76666667"
"FACATATIVA - URBANO","2025-05-25","","12.26958333"
"FACATATIVA - URBANO","2025-05-24","","13.36375"
"FACATATIVA - URBANO","2025-05-23","","25.045"
"FACATATIVA - URBANO","2025-05-22","","23.96791667"
"FACATATIVA - URBANO","2025-05-21","","30.17583333"
"FACATATIVA - URBANO","2025-05-20","","14.26541667"
"FACATATIVA - URBANO","2025-05-19","","22.11083333"
"FACATATIVA - URBANO","2025-05-18","","19.10125"
"FACATATIVA - URBANO","2025-05-17","","15.61291667"
"FACATATIVA - URBANO","2025-05-16","","24.03291667"
"FACATATIVA - URBANO","2025-05-15","","17.75083333"
"FACATATIVA - URBANO","2025-05-14","","22.95916667"
"FACATATIVA - URBANO","2025-05-13","","23.7625"
"FACATATIVA - URBANO","2025-05-12","","21.99583333"
"FACATATIVA - URBANO","2025-05-11","","13.73375"
"FACATATIVA - URBANO","2025-05-10","","20.48833333"
"FACATATIVA - URBANO","2025-05-09","","26.01083333"
"FACATATIVA - URBANO","2025-05-08","","27.29208333"
"FACATATIVA - URBANO","2025-05-07","","19.71791667"
"FACATATIVA - URBANO","2025-05-06","","29.34666667"
"FACATATIVA - URBANO","2025-05-05","","19.26333333"
"FACATATIVA - URBANO","2025-05-04","","23.72791667"
"FACATATIVA - URBANO","2025-05-03","","19.19375"
"FACATATIVA - URBANO","2025-05-02","","27.39"
"FACATATIVA - URBANO","2025-05-01","","22.55916667"
"FACATATIVA - URBANO","2025-04-30","","19.58083333"
"FACATATIVA - URBANO","2025-04-29","","27.412"
"FACATATIVA - URBANO","2025-04-28","","16.50333333"
"FACATATIVA - URBANO","2025-04-27","","11.80083333"
"FACATATIVA - URBANO","2025-04-26","","21.21375"
"FACATATIVA - URBANO","2025-04-25","","35.9"
"FACATATIVA - URBANO","2025-04-24","","21.5325"
"FACATATIVA - URBANO","2025-04-23","","31.2045"
"FACATATIVA - URBANO","2025-04-22","","26.84458333"
"FACATATIVA - URBANO","2025-04-21","","14.16166667"
"FACATATIVA - URBANO","2025-04-20","","10.65791667"
"FACATATIVA - URBANO","2025-04-19","","19.09217391"
"FACATATIVA - URBANO","2025-04-18","","16.16833333"
